ss,MF/MS
183.671022313,1.99411764706
182.845090839,1.94411764706
183.671022313,1.79117647059
180.389513967,1.75294117647
181.204353329,1.59705882353
177.166633797,1.54705882353
178.770811269,1.4
178.770811269,1.40294117647
174.001334339,1.30294117647
173.218885498,1.25
177.166633797,1.2
187.012225354,1.15
210.262006605,1.11764705882
251.799204260,1.11764705882
288.253450558,1.15
307.027486158,1.2
308.414363231,1.34705882353
298.836213199,1.43529411765
298.836213199,1.49705882353
293.497137305,1.54411764706
293.497137305,1.7
289.555523238,1.75
289.555523238,1.84705882353
285.666844342,1.90588235294
285.666844342,1.98529411765
